Name,ID,Length
Q1096069,Q1096069,10
Q1096209,Q1096209,10
Q1096219,Q1096219,10
Q1096446,Q1096446,10
Q1096543,Q1096543,10
Q1096866,Q1096866,10
Q1096990,Q1096990,10
Q1097200,Q1097200,10
Q1097287,Q1097287,10
Q1097303,Q1097303,10
Q1097324,Q1097324,10
Q1097454,Q1097454,10
Q1097464,Q1097464,10
Q1097522,Q1097522,10
Q1097740,Q1097740,10
Q1097753,Q1097753,10
Q1097785,Q1097785,10
Q1097844,Q1097844,10
Q1098097,Q1098097,10
Q1091782,Q1091782,11
Q1091840,Q1091840,11
Q1091919,Q1091919,11
Q1092148,Q1092148,11
Q1092303,Q1092303,11
Q1092769,Q1092769,11
Q1092783,Q1092783,11
Kuryksarka,Q1092807,11
Q1092849,Q1092849,11
Q1093009,Q1093009,11
Q1093183,Q1093183,11
Q1093669,Q1093669,11
Q1093675,Q1093675,11
Q1093754,Q1093754,11
Q1093801,Q1093801,11
Q1093881,Q1093881,11
Q1094293,Q1094293,11
Q1094708,Q1094708,11
Q1094734,Q1094734,11
Q1094794,Q1094794,11
Q1095199,Q1095199,11
Q1095212,Q1095212,11
Q1095523,Q1095523,11
Q1095679,Q1095679,11
Q1095709,Q1095709,11
Q1096113,Q1096113,11
Q1096122,Q1096122,11
Q1096143,Q1096143,11
Q1096159,Q1096159,11
Q1096280,Q1096280,11
Q1096362,Q1096362,11
Q1096428,Q1096428,11
Q1096442,Q1096442,11
Q1096605,Q1096605,11
Kichmen',Q1096701,11
Q1096931,Q1096931,11
Labazna,Q1096939,11
Q1096958,Q1096958,11
Q1097092,Q1097092,11
Q1097168,Q1097168,11
Q1097607,Q1097607,11
Q1097722,Q1097722,11
Q1097830,Q1097830,11
Zapadnyy Roman-Shor,Q1097974,11
Q1097981,Q1097981,11
Q1098084,Q1098084,11
Q1098221,Q1098221,11
Q1098243,Q1098243,11
Q1098403,Q1098403,11
Q1098593,Q1098593,11
Q1098608,Q1098608,11
Q1098701,Q1098701,11
Tuykos River,Q1098739,11
Q1099590,Q1099590,11
Q1099883,Q1099883,11
Büchelbach,Q1020306,0.6
Büchelbach (Bieber),Q1020303,1
Bölkau,Q1019845,1.6
Q10567072,Q10567072,1.88
Q1019895,Q1019895,1.94
Q1092394,Q1092394,2
Q10360995,Q10360995,2
Q1012254,Q1012254,2.07
Bärenbach,Q1019069,2.16
Q10857105,Q10857105,2.5
Pulverbach,Q1000989,2.6
Älvestaån,Q10725705,2.6
Q1095883,Q1095883,2.8
Barn River,Q10361541,3
Cheița River (Arieș),Q10361749,3
Butzerbach,Q1018246,3.206
Q10395799,Q10395799,3.3
Q10296507,Q10296507,3.4
Alica,Q10776346,3.4
Gräsanoja,Q10509774,3.5
Q10777529,Q10777529,3.6
Q10399803,Q10399803,3.7
Q10844785,Q10844785,3.7
Bürgerbuschbach,Q1021068,3.918
Bübbenser Tief,Q1020280,4
Q1035556,Q1035556,4
Chelan River,Q1069034,6.5
Bullengraben,Q1004260,4.5
Q10271296,Q10271296,4.8
Q1052109,Q1052109,5
Fâneața Vacilor River,Q10361920,5
Q10777491,Q10777491,5
Q1016382,Q1016382,5.28
Q10296509,Q10296509,5.3
Župė,Q10296511,5.3
Q10516793,Q10516793,5.3
Q10777545,Q10777545,5.4
Burraubach,Q1016899,5.645
Q10728855,Q10728855,6
Q10953435,Q10953435,6
Adinčiava,Q10706424,6.2
Calnegia,Q1027378,6.4
Q10728858,Q10728858,6.9
Q1093210,Q1093210,7
Q10489006,Q10489006,7
Q10955438,Q10955438,7
Q1094322,Q1094322,7.4
Bösbach,Q1020059,7.7
Q10969181,Q10969181,7.95
Sungei Serangoon,Q1028868,8
Q1094697,Q1094697,8
Q10420324,Q10420324,8
Q10719099,Q10719099,8
Daxi River,Q10936565,8
Canal de l'Aqueduc,Q1032604,8.1
Bílé Labe,Q1019549,8.3
Q1075453,Q1075453,8.3
Q10728862,Q10728862,8.6
Q10854558,Q10854558,8.7
Akmenynas,Q10728870,9
Q1018267,Q1018267,9.3
Q1093488,Q1093488,9.3
Bol'shaya Polomka,Q1092713,9.7
Srednyaya Zheleznaya,Q1099341,10
Q1099374,Q1099374,10
Q1099558,Q1099558,10
Q1099607,Q1099607,10
Q1099910,Q1099910,10
Q1099922,Q1099922,10
Rio Labriosque,Q10362129,10
Mercoire,Q1071427,10.1
Q1020518,Q1020518,11
Castray River,Q1049805,11
Kazmash,Q1049850,11
Bolshaya Gorevaya River,Q1071920,11
Sungur,Q1072068,11
Klyuchyovka River,Q1072196,11
Kormilovka River,Q1072468,11
Q1087892,Q1087892,11
Q1087988,Q1087988,11
Spirtovka River,Q1088182,11
Q1089870,Q1089870,11
Q1089918,Q1089918,11
Q1089923,Q1089923,11
Q1090085,Q1090085,11
Kozim,Q1090127,11
Q1090145,Q1090145,11
Q1090155,Q1090155,11
Q1090204,Q1090204,11
Q1090265,Q1090265,11
Q1090434,Q1090434,11
Q1090467,Q1090467,11
Q1090576,Q1090576,11
Q1090767,Q1090767,11
Q1090850,Q1090850,11
Q1090856,Q1090856,11
Q1090866,Q1090866,11
Q1090999,Q1090999,11
Q1091087,Q1091087,11
Malaya Burënka,Q1091098,11
Q1091177,Q1091177,11
Q1091349,Q1091349,11
Q1091452,Q1091452,11
Q1091475,Q1091475,11
Q1091497,Q1091497,11
Q1091646,Q1091646,11
Q1091662,Q1091662,11
Q1091672,Q1091672,11
Q1091687,Q1091687,11
Q10588934,Q10588934,11
Ašutis,Q10859446,11
Q10930761,Q10930761,11
Q10728864,Q10728864,11.4
Žiogupis,Q10294341,11.5
Q1097208,Q1097208,11.7
Q1001872,Q1001872,11.863
Chamberonne,Q1060663,12
Q1071623,Q1071623,12
Maly Lip River,Q1071973,12
Platoshinka River,Q1072023,12
Q1072346,Q1072346,12
Goryun,Q1072515,12
Q1087318,Q1087318,12
Sukko River,Q1088251,12
Q1089929,Q1089929,12
Q1089993,Q1089993,12
Dyul'dina,Q1089998,12
Q1090059,Q1090059,12
Q1090064,Q1090064,12
Q1090102,Q1090102,12
Q1090132,Q1090132,12
Q1090142,Q1090142,12
Q1090149,Q1090149,12
Q1090352,Q1090352,12
Q1090424,Q1090424,12
Q1090544,Q1090544,12
Q1090547,Q1090547,12
Q1090592,Q1090592,12
Q1090750,Q1090750,12
Q1090798,Q1090798,12
Q1090821,Q1090821,12
Q1090920,Q1090920,12
Q1091023,Q1091023,12
Q1091135,Q1091135,12
Q1091142,Q1091142,12
Q1091231,Q1091231,12
Sher-Kuva,Q1091246,12
Severnyy Churan,Q1091305,12
Q1091503,Q1091503,12
Q1091574,Q1091574,12
Q1091911,Q1091911,12
Q1092058,Q1092058,12
Vakhrinka,Q1092068,12
Goryukhalka,Q1092117,12
Q1092162,Q1092162,12
Q1092173,Q1092173,12
Q1092218,Q1092218,12
Q1092338,Q1092338,12
Q1092383,Q1092383,12
Q1092434,Q1092434,12
Q1092498,Q1092498,12
Q1092949,Q1092949,12
Q1092963,Q1092963,12
Q1092973,Q1092973,12
Q1093524,Q1093524,12
Q1093642,Q1093642,12
Q1093691,Q1093691,12
Q1093771,Q1093771,12
Q1093818,Q1093818,12
Q1090412,Q1090412,13
Q1090602,Q1090602,13
Q1090792,Q1090792,13
Q1090932,Q1090932,13
Q1091066,Q1091066,13
Q1091217,Q1091217,13
Q1091316,Q1091316,13
Q1091345,Q1091345,13
Q1091356,Q1091356,13
Q1091360,Q1091360,13
Q1091416,Q1091416,13
Q1091423,Q1091423,13
Q1091539,Q1091539,13
Q1091766,Q1091766,13
Q1091928,Q1091928,13
Q1091986,Q1091986,13
Q1092011,Q1092011,13
Q1092402,Q1092402,13
Bugulda,Q1092420,13
Q1092917,Q1092917,13
Q1093575,Q1093575,13
Q1093595,Q1093595,13
Q1093654,Q1093654,13
Q1093684,Q1093684,13
Q1093860,Q1093860,13
Q1093931,Q1093931,13
Q1094002,Q1094002,13
Q1094071,Q1094071,13
Q1094436,Q1094436,13
Q1094624,Q1094624,13
Q1094842,Q1094842,13
Q1094892,Q1094892,13
Q1094936,Q1094936,13
Biklyan',Q1094997,13
Q1095010,Q1095010,13
Q1095069,Q1095069,13
Q1095128,Q1095128,13
Q1095155,Q1095155,13
Q1095403,Q1095403,13
Q1095510,Q1095510,13
Q1095526,Q1095526,13
Q1095611,Q1095611,13
Q1095631,Q1095631,13
Q1095698,Q1095698,13
Q1095757,Q1095757,13
Q1095814,Q1095814,13
Q1095865,Q1095865,13
Q1095978,Q1095978,13
Q1096465,Q1096465,13
Q1096560,Q1096560,13
Q1096618,Q1096618,13
Q1096898,Q1096898,13
Q1096929,Q1096929,13
Q1097081,Q1097081,13
Q1097533,Q1097533,13
Q1097638,Q1097638,13
Q1097809,Q1097809,13
Q1098015,Q1098015,13
Q1098280,Q1098280,13
Q1098598,Q1098598,13
Q1098627,Q1098627,13
Q1098644,Q1098644,13
Q1061737,Q1061737,15
Molyobka River,Q1071968,15
Kushtanka River,Q1071980,15
Kurmakash River,Q1072189,15
Q1072390,Q1072390,15
Q1089811,Q1089811,15
Q1090035,Q1090035,15
Q1090321,Q1090321,15
Q1090494,Q1090494,15
Q1090651,Q1090651,15
Maly Kub River,Q1090693,15
Q1090778,Q1090778,15
Q1090831,Q1090831,15
Q1091036,Q1091036,15
Q1091264,Q1091264,15
Q1091603,Q1091603,15
Q1091649,Q1091649,15
Q1091740,Q1091740,15
Q1092028,Q1092028,15
Q1092184,Q1092184,15
Q1092202,Q1092202,15
Noncello,Q1092903,15
Q1092925,Q1092925,15
Bygel',Q1093481,15
Q1093625,Q1093625,15
Burdinka,Q1094011,15
Q1094242,Q1094242,15
Q1094298,Q1094298,15
Q1094486,Q1094486,15
Q1094783,Q1094783,15
Q1094860,Q1094860,15
Q1095413,Q1095413,15
Q1095486,Q1095486,15
Q1095719,Q1095719,15
Q1096516,Q1096516,15
Q1096880,Q1096880,15
Q1096893,Q1096893,15
Q1096918,Q1096918,15
Q1097088,Q1097088,15
Q1097193,Q1097193,15
Shipka,Q1097354,15
Q1097424,Q1097424,15
Q1097622,Q1097622,15
Q1097952,Q1097952,15
Q1097986,Q1097986,15
Q1097993,Q1097993,15
Q1098230,Q1098230,15
Q1098368,Q1098368,15
Q1099567,Q1099567,15
Staraya Syun',Q1099896,15
Q1093893,Q1093893,12
Q1093940,Q1093940,12
Q1094236,Q1094236,12
Q1094472,Q1094472,12
Q1094505,Q1094505,12
Q1094577,Q1094577,12
Q1094758,Q1094758,12
Q1094799,Q1094799,12
Q1094943,Q1094943,12
Q1095052,Q1095052,12
Q1095147,Q1095147,12
Q1095331,Q1095331,12
Q1095375,Q1095375,12
Q1095384,Q1095384,12
Malyy Tuy,Q1095472,12
Q1095549,Q1095549,12
Q1095805,Q1095805,12
Q1095969,Q1095969,12
Severnaya Bystraya,Q1096022,12
Q1096232,Q1096232,12
Q1096241,Q1096241,12
Q1096266,Q1096266,12
Q1096311,Q1096311,12
Q1096389,Q1096389,12
Q1096455,Q1096455,12
Q1096538,Q1096538,12
Q1096911,Q1096911,12
Q1096949,Q1096949,12
Q1097180,Q1097180,12
Q1097295,Q1097295,12
Q1097364,Q1097364,12
Q1097397,Q1097397,12
Q1097961,Q1097961,12
Q1098021,Q1098021,12
Q1098066,Q1098066,12
Q1098074,Q1098074,12
Q1098079,Q1098079,12
Q1098205,Q1098205,12
Q1098552,Q1098552,12
Q1098558,Q1098558,12
Hâtée river,Q10314105,12
Q10748784,Q10748784,12
Ymėžė,Q10856964,12.2
Béthuzon,Q1019501,12.4
Bulgobac River,Q1004064,12.5
Q10396977,Q10396977,12.5
Q10407818,Q10407818,12.7
Bílá Opava,Q1019536,13
Kelermes,Q1072054,13
Q1072122,Q1072122,13
Solyanka River,Q1072374,13
Turysh River,Q1072454,13
Q1087237,Q1087237,13
Yasnovka,Q1088299,13
Q1089736,Q1089736,13
Q1090049,Q1090049,13
Q1090167,Q1090167,13
Q1090296,Q1090296,13
Q1090404,Q1090404,13
Q10402653,Q10402653,13
Q10858463,Q10858463,13
Charles River,Q1065913,13.2
Atmata,Q10859002,13.2
Q1096690,Q1096690,14
Q1096727,Q1096727,14
Q1097494,Q1097494,14
Q1097501,Q1097501,14
Q1097652,Q1097652,14
Q1098048,Q1098048,14
Karmala,Q1098193,14
Q1098657,Q1098657,14
Q1098688,Q1098688,14
Bückener Mühlenbach,Q1020435,14
Bisarka,Q1071836,14
Q1072170,Q1072170,14
Q1072366,Q1072366,14
Usekay River,Q1072416,14
Q1087306,Q1087306,14
Arkhondon,Q1087975,14
Q1089852,Q1089852,14
Q1089934,Q1089934,14
Q1090020,Q1090020,14
Q1090093,Q1090093,14
Q1090189,Q1090189,14
Q1090259,Q1090259,14
Q1090311,Q1090311,14
Q1090365,Q1090365,14
Q1090687,Q1090687,14
Bol'shaya Usolka,Q1090756,14
Q1090993,Q1090993,14
Q1091061,Q1091061,14
Q1091073,Q1091073,14
Q1091122,Q1091122,14
Q1091340,Q1091340,14
Q1091421,Q1091421,14
Q1091445,Q1091445,14
Q1091512,Q1091512,14
Q1091529,Q1091529,14
Q1091788,Q1091788,14
Q1091900,Q1091900,14
Q1091994,Q1091994,14
Q1092229,Q1092229,14
Q1092312,Q1092312,14
Q1092791,Q1092791,14
Q1092843,Q1092843,14
Q1093843,Q1093843,14
Q1093871,Q1093871,14
Q1093993,Q1093993,14
Q1094102,Q1094102,14
Q1094193,Q1094193,14
Q1094287,Q1094287,14
Q1094610,Q1094610,14
Q1095381,Q1095381,14
Q1095396,Q1095396,14
Q1095515,Q1095515,14
Q1095518,Q1095518,14
Q1095601,Q1095601,14
Q1096127,Q1096127,14
Q1096527,Q1096527,14
Q1096529,Q1096529,14
Q1096672,Q1096672,14
Q10361653,Q10361653,14
Burrungubugge River,Q1016941,14.5
Akmena,Q10728852,15
Q10978175,Q10978175,15
Calder River,Q1026429,15.3
Q10966275,Q10966275,15.2
Bünzau,Q1020921,15.7
Varosa River,Q10362722,15.7
Buron River,Q1016866,16
Chessu,Q1071581,16
Bizyarka River,Q1071947,16
Q1072106,Q1072106,16
Q1087898,Q1087898,16
Q1087982,Q1087982,16
Q1088278,Q1088278,16
Yurka,Q1088284,16
Q1089742,Q1089742,16
Q1089858,Q1089858,16
Q1090099,Q1090099,16
Q1090124,Q1090124,16
Q1090662,Q1090662,16
Q1090747,Q1090747,16
Q1090804,Q1090804,16
Q1091310,Q1091310,16
Q1091517,Q1091517,16
Q1091610,Q1091610,16
Q1091625,Q1091625,16
Q1091744,Q1091744,16
Q1092018,Q1092018,16
Q1092051,Q1092051,16
Q1092223,Q1092223,16
Q1092815,Q1092815,16
Q1092931,Q1092931,16
Maly Chabes River,Q1093289,16
Q1093827,Q1093827,16
Q1093899,Q1093899,16
Q1094214,Q1094214,16
Q1094493,Q1094493,16
Q1094501,Q1094501,16
Q1094645,Q1094645,16
Q1094728,Q1094728,16
Q1094827,Q1094827,16
Q1095108,Q1095108,16
Q1096254,Q1096254,16
Q1096904,Q1096904,16
Q1097282,Q1097282,16
Q1097338,Q1097338,16
Moshkara,Q1097419,16
Q1097907,Q1097907,16
Q1097942,Q1097942,16
Q1098361,Q1098361,16
Q1098417,Q1098417,16
Q1098425,Q1098425,16
Q1098509,Q1098509,16
Q1099776,Q1099776,16
Q10782297,Q10782297,16
Q10818045,Q10818045,16
Įpiltis,Q10544125,16.2
Q1045239,Q1045239,16.3
Q10284459,Q10284459,16.5
Šona,Q10409946,16.5
Q10544071,Q10544071,16.8
Cameron River,Q1028797,17
Bolshaya Kumina River,Q1071891,17
Saya River,Q1072018,17
Savlek River,Q1072351,17
Sukhobizyarka River,Q1072445,17
Q1087376,Q1087376,17
Q1087967,Q1087967,17
Q1089910,Q1089910,17
Q1089971,Q1089971,17
Q1090003,Q1090003,17
Q1090041,Q1090041,17
Q1090105,Q1090105,17
Q1090112,Q1090112,17
Q1090135,Q1090135,17
Q1090283,Q1090283,17
Kolodezyanka,Q1090301,17
Q1090438,Q1090438,17
Q1090619,Q1090619,17
Q1090923,Q1090923,17
Q1091174,Q1091174,17
Lemzer,Q1091492,17
Q1091631,Q1091631,17
Polazinsky Vozh,Q1091978,17
Q1092136,Q1092136,17
Q1092243,Q1092243,17
Q1092484,Q1092484,17
Q1092504,Q1092504,17
Q1092955,Q1092955,17
Q1093051,Q1093051,17
Q1093100,Q1093100,17
Parok River,Q1093256,17
Q1093309,Q1093309,17
Q1093543,Q1093543,17
Q1093712,Q1093712,17
Q1094658,Q1094658,17
Q1094874,Q1094874,17
Seryak,Q1094992,17
Q1095092,Q1095092,17
Q1095390,Q1095390,17
Q1095458,Q1095458,17
Q1095505,Q1095505,17
Q1096040,Q1096040,17
Q1096297,Q1096297,17
Q1096421,Q1096421,17
Q1096552,Q1096552,17
Q1096596,Q1096596,17
Q1098213,Q1098213,17
Q1098274,Q1098274,17
Q1098299,Q1098299,17
Q1098617,Q1098617,17
Q1099698,Q1099698,17
Q10270287,Q10270287,17.1
Carey River,Q1035949,17.3
Q10474864,Q10474864,17.33
Q1018702,Q1018702,17.7
Gueyze,Q1028539,17.7
Carbäk,Q1035571,18
Caudal,Q1051446,18
Mostovinka,Q1072135,18
Uzginka,Q1072144,18
Chyornaya Turka River,Q1072328,18
Q1087881,Q1087881,18
Q1090025,Q1090025,18
Q1090559,Q1090559,18
Q1090834,Q1090834,18
Q1090915,Q1090915,18
Q1091148,Q1091148,18
Q1091759,Q1091759,18
Q1093617,Q1093617,18
Q1093698,Q1093698,18
Q1093852,Q1093852,18
Q1094065,Q1094065,18
Q1094466,Q1094466,18
Q1094566,Q1094566,18
Q1094737,Q1094737,18
Q1094790,Q1094790,18
Q1095043,Q1095043,18
Q1095427,Q1095427,18
Q1095434,Q1095434,18
Q1095695,Q1095695,18
Q1095797,Q1095797,18
Q1096887,Q1096887,18
Q1097510,Q1097510,18
Chuklya River,Q1098409,18
Q1098523,Q1098523,18
Yuzhnaya Anva River,Q1098818,18
Bolshaya Martayka River,Q1098916,18
Melville Hall River,Q10362255,18
Q10786936,Q10786936,18
Q10977888,Q10977888,18
Busyazh,Q1017632,19
Sog River,Q1066192,19
Q1072032,Q1072032,19
Rječina,Q1086646,19
Q1087999,Q1087999,19
Q1089845,Q1089845,19
Q1090107,Q1090107,19
Q1090785,Q1090785,19
Q1091238,Q1091238,19
Q1091254,Q1091254,19
Inysh,Q1091377,19
Q1091429,Q1091429,19
Q1093000,Q1093000,19
Ayya River,Q1093132,19
Q1093163,Q1093163,19
Q1093501,Q1093501,19
Q1094197,Q1094197,19
Malaya Sol River,Q1094525,19
Q1094620,Q1094620,19
Chechera,Q1094984,19
Uymuzh,Q1095326,19
Malaya Piz',Q1096407,19
Sarabaikha,Q1096645,19
Q1096747,Q1096747,19
Q1097016,Q1097016,19
Yamashka,Q1097929,19
Q1098434,Q1098434,19
Q1098484,Q1098484,19
Q1098695,Q1098695,19
Bolshaya Zolotanka River,Q1099039,19
Q1099451,Q1099451,19
Burnya,Q1099931,19
Q10854561,Q10854561,19
Campbell River; Tasmania,Q1030513,19.2
Cance,Q1032867,19.3
Bymok River,Q1072435,20
Q1087873,Q1087873,20
Q1090391,Q1090391,20
Q1090397,Q1090397,20
Lunym,Q1090417,20
Q1090474,Q1090474,20
Q1090862,Q1090862,20
Q1091259,Q1091259,20
Q1091261,Q1091261,20
Shumyshka,Q1091365,20
Q1091587,Q1091587,20
Q1092042,Q1092042,20
Q1092168,Q1092168,20
Q1092703,Q1092703,20
Q1092860,Q1092860,20
Lel River,Q1093185,20
Q1093473,Q1093473,20
Q1094253,Q1094253,20
Razvilka,Q1094549,20
Q1094703,Q1094703,20
Q1094770,Q1094770,20
Q1094949,Q1094949,20
Q1095288,Q1095288,20
Burënka,Q1095422,20
Q1095836,Q1095836,20
Q1096739,Q1096739,20
Q1096843,Q1096843,20
Q1096859,Q1096859,20
Q1097918,Q1097918,20
Q1098290,Q1098290,20
Q1098376,Q1098376,20
Q1098636,Q1098636,20
Seleya River,Q1099082,20
Sukhotyl River,Q1099102,20
Q1099686,Q1099686,20
Pshenakho,Q10963459,20
Brague,Q1087647,21
Q1089987,Q1089987,21
Q1090358,Q1090358,21
Nyuzim River,Q1090734,21
Q1090891,Q1090891,21
Q1090969,Q1090969,21
Q1092943,Q1092943,21
Q1094019,Q1094019,21
Q1094201,Q1094201,21
Bolshoy Chabes River,Q1094534,21
Q1094584,Q1094584,21
Q1094715,Q1094715,21
Kiankiz,Q1095062,21
Q1095137,Q1095137,21
Q1095181,Q1095181,21
Q1095339,Q1095339,21
Q1095453,Q1095453,21
Sarapala,Q1095642,21
Q1095741,Q1095741,21
Q1096009,Q1096009,21
Q1096395,Q1096395,21
Q1096434,Q1096434,21
Q1096712,Q1096712,21
Q1097317,Q1097317,21
Q1097934,Q1097934,21
Q1098147,Q1098147,21
Chugrum River,Q1098763,21
Surya River,Q1099026,21
Q1099361,Q1099361,21
Bandurka,Q10616581,21
Q10856988,Q10856988,21
Q10860834,Q10860834,21
Q10719343,Q10719343,21.1
Q10725469,Q10725469,21.2
Clarence River,Q1095503,21.5
Aukspirta,Q10859153,21.6
Claysse,Q1099238,21.9
Liro,Q1056083,22
Q1071748,Q1071748,22
Ponor River,Q1076370,22
Q1087910,Q1087910,22
Q1087960,Q1087960,22
Q1089778,Q1089778,22
Q1089822,Q1089822,22
Q1089989,Q1089989,22
Malaya Irnya,Q1090031,22
Q1090481,Q1090481,22
Q1090539,Q1090539,22
Q1091657,Q1091657,22
Q1092046,Q1092046,22
Melekeska,Q1092101,22
Shestaya,Q1092109,22
Q1092321,Q1092321,22
Kizilovka,Q1092389,22
Q1092458,Q1092458,22
Q1092989,Q1092989,22
Q1093738,Q1093738,22
Q1094591,Q1094591,22
Q1094721,Q1094721,22
Q1095115,Q1095115,22
Q1096663,Q1096663,22
Q1097797,Q1097797,22
Q10857260,Q10857260,22
Dabao Xi,Q10938056,22
Cerveyrette,Q1056443,22.8
Kumay River,Q1099115,23
Q1099735,Q1099735,23
Q1020446,Q1020446,23
Cataract River,Q1050389,23
Q1071847,Q1071847,23
Gechepsin,Q1072037,23
Avlashka,Q1089976,23
Q1090089,Q1090089,23
Sol River,Q1090501,23
Q1090538,Q1090538,23
Kalta River,Q1091598,23
Q1092469,Q1092469,23
Istok,Q1093513,23
Q1093600,Q1093600,23
Q1093719,Q1093719,23
Q1095781,Q1095781,23
Q1096302,Q1096302,23
Q1097008,Q1097008,23
Q1098091,Q1098091,23
Kleine Tulln,Q1030969,24
Bolshoy Lip River,Q1071942,24
Q1089753,Q1089753,24
Q1089828,Q1089828,24
Q1090241,Q1090241,24
Q1090808,Q1090808,24
Q1091484,Q1091484,24
Q1092683,Q1092683,24
Pelya River,Q1093145,24
Q1093947,Q1093947,24
Q1094058,Q1094058,24
Q1096077,Q1096077,24
Q1096634,Q1096634,24
Q1097189,Q1097189,24
Q1099709,Q1099709,24
Canut de Renac,Q1033939,24.4
Chiuvone,Q1075031,24.4
Q10396824,Q10396824,24.5
Aisė,Q10725516,24.7
Armena,Q10855951,24.6
Březnice,Q1022168,24.8
Cannobino,Q1033428,25
Carmichael River,Q1043765,25
Maly Ashap River,Q1072004,25
Yelymovka River,Q1072495,25
Q1090457,Q1090457,25
Q1090597,Q1090597,25
Q1091211,Q1091211,25
Q1091469,Q1091469,25
Q1091592,Q1091592,25
Chural River,Q1093176,25
Rossosh',Q1093557,25
Q1094853,Q1094853,25
Q1095441,Q1095441,25
Q1097586,Q1097586,25
Q1097618,Q1097618,25
Q1098236,Q1098236,25
Q1098260,Q1098260,25
Q1098283,Q1098283,25
Anyl River,Q1099046,25
Alcabrichel River,Q10361453,25
Q10951033,Q10951033,25
Q10951120,Q10951120,25
Casaluna,Q1046775,25.3
Cederbach,Q1052568,25.297
Bez,Q1019347,25.4
Gega,Q10620108,25.6
Q10859157,Q10859157,25.5
Jičínka,Q10856822,25.8
Canne,Q1033377,26
Sova River,Q1072425,26
Q1076690,Q1076690,26
Q1087886,Q1087886,26
Karinka,Q1090455,26
Q1091105,Q1091105,26
Q1091459,Q1091459,26
Q1091601,Q1091601,26
Badiya River,Q1093158,26
Q1095312,Q1095312,26
Q1095540,Q1095540,26
Q1095730,Q1095730,26
Q1096584,Q1096584,26
Q1096679,Q1096679,26
Niols River,Q1099127,26
Q10719200,Q10719200,26
Q10818046,Q10818046,26
Q10956842,Q10956842,26
Q10957063,Q10957063,26
Castellane,Q1048713,27
Bartym River,Q1071952,27
Kuara River,Q1071963,27
Uyas River,Q1072481,27
Zakka,Q1087928,27
Q1090007,Q1090007,27
Yelva River,Q1090704,27
Q1095100,Q1095100,27
Q1097070,Q1097070,27
Q1097547,Q1097547,27
Peles River,Q1099085,27
Vähäjoki,Q10992922,27
Celle,Q1053001,27.7
Selychka,Q1072162,28
Q1090385,Q1090385,28
Q1090572,Q1090572,28
Q1091939,Q1091939,28
Q1092158,Q1092158,28
Ursala,Q1093111,28
Q1093723,Q1093723,28
Q1094602,Q1094602,28
Q1094603,Q1094603,28
Q1094820,Q1094820,28
Q1095489,Q1095489,28
Q1096320,Q1096320,28
Q1097332,Q1097332,28
Sosnova,Q1097486,28
Q1098006,Q1098006,28
Nyariz River,Q1098899,28
Q10400916,Q10400916,28
Šembera,Q10397045,28.2
Q1003391,Q1003391,28.6
Abamza,Q1020533,29
Cameron Creek,Q1028707,29
Bakanka,Q1088306,29
Posmak River,Q1090726,29
Q1091819,Q1091819,29
Q1092237,Q1092237,29
Q1092719,Q1092719,29
Q1092827,Q1092827,29
Garevaya,Q1097377,29
Q1097947,Q1097947,29
Šlyna,Q10408898,29
Q10988322,Q10988322,29
Burge,Q1014826,29.3
Cailly,Q1025870,29.3
Q10396814,Q10396814,29.2
